,Player,Team,Season,TSPERCENT,EFGPERCENT,TOTALS%,ORBPERCENT,DRBPERCENT,TRBPERCENT,ASTPERCENT,TOVPERCENT,STLPERCENT,BLKPERCENT,USGPERCENT,PPR,PPS,ORTG,DRTG,EDIFF,FIC,PER,cluster
6264,Shai Gilgeous-Alexander,UK,2018,0.578,.516,170.6,3.2,10.0,6.8,28.8,17.9,2.8,1.7,21.9,2.1,1.4,116.7,100.8,15.8,443.6,20.1,cluster_8
6265,Thurman Zimmerman,SCSU,2003,0.606,.552,162.6,8.7,17.7,13.4,13.1,18.5,2.8,0.6,24.2,-5.3,1.5,115.2,94.7,20.5,351.5,21.9,cluster_8
6266,Robbie Hummel,PURD,2008,0.629,.569,179.5,10.5,15.8,13.0,19.4,13.3,2.8,2.8,18.9,1.1,1.5,131.0,91.4,39.6,375.9,23.1,cluster_8
6267,Micah Handlogten,MARSH,2023,0.649,.666,128.9,14.9,27.5,21.3,7.2,18.3,2.8,9.1,13.4,-2.0,1.6,125.5,86.8,38.7,420.3,24.1,cluster_8
6268,Grayson Murphy,BLMNT,2019,0.545,.541,140.8,2.8,12.7,8.1,33.5,21.9,2.9,0.4,18.3,5.8,1.2,111.3,98.6,12.7,366.3,16.5,cluster_8
6269,Nick Calathes,FLA,2008,0.546,.496,151.6,4.2,14.3,9.3,33.4,17.1,2.9,0.3,26.1,3.7,1.3,115.0,98.4,16.6,459.6,22.3,cluster_8
6270,Ray McCallum,UDM,2011,0.537,.480,144.4,5.1,10.9,8.2,29.0,17.0,2.9,0.5,22.2,2.0,1.4,113.4,102.1,11.3,359.5,19.1,cluster_8
6271,Dwayne Sutton,UNCA,2016,0.547,.509,141.6,8.5,19.5,14.0,8.0,13.5,2.9,2.5,20.3,-2.7,1.5,111.9,92.4,19.5,360.1,18.9,cluster_8
6272,Tre Jones,DUKE,2019,0.485,.456,143.4,2.8,8.3,5.7,23.8,13.2,3.0,0.5,15.1,5.8,1.1,114.6,95.6,19.0,369.8,14.5,cluster_8
6273,Kawhi Leonard,SDSU,2010,0.515,.477,138.6,14.3,24.1,19.4,12.7,15.5,3.0,2.7,24.4,-3.4,1.2,110.1,89.5,20.6,413.6,22.9,cluster_8
6274,Cameron Payne,MRRY,2014,0.526,.481,152.0,1.1,11.1,6.3,34.3,16.8,3.0,1.7,29.5,1.2,1.2,108.5,103.2,5.3,360.1,19.7,cluster_8
6275,Patrick Beverley,ARK,2007,0.582,.531,162.5,4.0,10.9,7.6,18.2,14.4,3.0,1.2,20.4,0.3,1.4,118.2,97.8,20.5,373.3,18.9,cluster_8
6276,Gordon Hayward,BTLR,2009,0.656,.611,174.1,5.6,18.4,12.2,14.0,14.2,3.0,3.5,19.5,-1.1,1.6,128.3,87.9,40.3,400.5,23.7,cluster_8
